neighborhood,x2010_density,x2010_diversity_index,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_density,x2020_diversity_index,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,x2010_vap,x2010_vap_hisp,x2010_vap_white_non_hisp,x2010_vap_black_non_hisp,x2010_vap_aian_non_hisp,x2010_vap_asian_non_hisp,x2010_vap_nhpi_non_hisp,x2010_vap_other_non_hisp,x2010_vap_two_plus_non_hisp,x2010_u18,x2010_u18_hisp,x2010_u18_white_non_hisp,x2010_u18_black_non_hisp,x2010_u18_aian_non_hisp,x2010_u18_asian_non_hisp,x2010_u18_nhpi_non_hisp,x2010_u18_other_non_hisp,x2010_u18_two_plus_non_hisp,x2010_hu,x2010_hu_occupied,x2010_hu_vacant,x2010_vacancy_rate,x2020_vap,x2020_vap_hisp,x2020_vap_white_non_hisp,x2020_vap_black_non_hisp,x2020_vap_aian_non_hisp,x2020_vap_asian_non_hisp,x2020_vap_nhpi_non_hisp,x2020_vap_other_non_hisp,x2020_vap_two_plus_non_hisp,x2020_u18,x2020_u18_hisp,x2020_u18_white_non_hisp,x2020_u18_black_non_hisp,x2020_u18_aian_non_hisp,x2020_u18_asian_non_hisp,x2020_u18_nhpi_non_hisp,x2020_u18_other_non_hisp,x2020_u18_two_plus_non_hisp,x2020_hu,x2020_hu_occupied,x2020_hu_vacant,x2020_vacancy_rate,change_density,change_diversity_index,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,change_vap,change_vap_hisp,change_vap_white_non_hisp,change_vap_black_non_hisp,change_vap_aian_non_hisp,change_vap_asian_non_hisp,change_vap_nhpi_non_hisp,change_vap_other_non_hisp,change_vap_two_plus_non_hisp,change_u18,change_u18_hisp,change_u18_white_non_hisp,change_u18_black_non_hisp,change_u18_aian_non_hisp,change_u18_asian_non_hisp,change_u18_nhpi_non_hisp,change_u18_other_non_hisp,change_u18_two_plus_non_hisp,change_hu,change_hu_occupied,change_hu_vacant,change_vacancy_rate,change_share_total_density,change_share_total_diversity_index,change_share_total_pop_hisp,change_share_total_pop_white_non_hisp,change_share_total_pop_black_non_hisp,change_share_total_pop_aian_non_hisp,change_share_total_pop_asian_non_hisp,change_share_total_pop_nhpi_non_hisp,change_share_total_pop_other_non_hisp,change_share_total_pop_two_plus_non_hisp,change_share_total_vap_hisp,change_share_total_vap_white_non_hisp,change_share_total_vap_black_non_hisp,change_share_total_vap_aian_non_hisp,change_share_total_vap_asian_non_hisp,change_share_total_vap_nhpi_non_hisp,change_share_total_vap_other_non_hisp,change_share_total_vap_two_plus_non_hisp,change_share_total_u18,change_share_total_u18_hisp,change_share_total_u18_white_non_hisp,change_share_total_u18_black_non_hisp,change_share_total_u18_aian_non_hisp,change_share_total_u18_asian_non_hisp,change_share_total_u18_nhpi_non_hisp,change_share_total_u18_other_non_hisp,change_share_total_u18_two_plus_non_hisp,change_share_total_hu,change_share_total_hu_occupied,change_share_total_hu_vacant,change_share_total_vacancy_rate,x2020_pop_hisp_perc,x2020_pop_white_non_hisp_perc,x2020_pop_black_non_hisp_perc,x2010_pop_hisp_perc,x2010_pop_white_non_hisp_perc,X2010_pop_black_non_hisp_perc,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed
Carrollton Ridge,26731,80,3556,147,1042,2182,14,76,1,5,89,17240,80,2372,202,457,1534,10,37,0,12,120,2496,90,829,1467,11,57,1,3,39,1061,57,213,716,4,19,0,2,50,1833,1169,664,57,1736,129,393,1094,8,27,0,9,75,636,74,63,440,2,9,0,3,45,1316,886,430,52,-35.51,0,-33.3,37.41,-56.14,-29.7,-28.57,-51.32,-100,140,34.83,-30.45,43.33,-52.59,-25.43,-27.27,-52.63,-100,200,92.31,-40.06,29.82,-70.42,-38.55,-50,-52.63,NA,50,-10,-28.21,-24.21,-35.24,-8.77,-266.9,0,1.55,-16.45,-18.22,-0.11,-1.1,-0.03,0.2,0.87,1.56,-17.47,-14.94,-0.12,-1.2,-0.04,0.24,1.44,-40.06,1.6,-14.14,-26.01,-0.19,-0.94,0,0.09,-0.47,-14.54,-7.96,-6.58,-0.14,8.52,19.27,64.67,4.13,29.3,61.36,Majority Black,Majority Black,No
Cedarcroft,414,3,576,15,468,60,1,20,0,1,11,415,4,577,26,436,65,1,21,0,3,25,437,10,358,48,1,14,0,1,5,138,5,110,11,0,5,0,1,6,233,220,13,1,443,17,337,55,1,18,0,2,13,134,9,100,9,0,3,0,1,12,228,216,12,0,0.24,33.33,0.17,73.33,-6.84,8.33,0,5,NA,200,127.27,1.37,70,-5.87,14.58,0,28.57,NA,100,160,-2.9,80,-9.09,-18.18,NA,-40,NA,0,100,-2.15,-1.82,-7.69,-100,0.17,0.17,1.91,-5.56,0.87,0,0.17,0,0.35,2.43,1.6,-4.81,1.6,0,0.92,0,0.23,1.83,-2.9,2.9,-7.25,-1.45,0,-1.45,0,0,4.35,-0.87,-0.69,-0.17,-0.17,4.51,75.56,11.27,2.6,81.25,10.42,Majority White,Majority White,No
Cedmont,4455,31,2813,80,923,1718,9,35,0,5,44,4369,28,2759,118,596,1911,4,24,1,8,97,2139,52,798,1233,6,28,0,2,21,674,28,125,485,3,8,0,3,23,1223,1119,103,5,2147,86,543,1437,4,18,1,8,51,613,32,53,474,0,6,0,0,47,1197,1095,103,5,-1.93,-9.68,-1.92,47.5,-35.43,11.23,-55.56,-31.43,Inf,60,120.45,0.37,65.38,-31.95,16.55,-33.33,-35.71,Inf,300,142.86,-9.05,14.29,-57.6,-2.27,-100,-25,NA,-100,104.35,-2.13,-2.14,0,0,-3.06,-0.11,1.35,-11.62,6.86,-0.18,-0.39,0.04,0.11,1.88,1.59,-11.92,9.54,-0.09,-0.47,0.05,0.28,1.4,-9.05,0.59,-10.68,-1.63,-0.45,-0.3,0,-0.45,3.56,-0.92,-0.85,0,0,4.28,21.6,69.26,2.84,32.81,61.07,Majority Black,Majority Black,No
Cedonia,2551,11,1453,29,156,1227,2,9,0,4,25,2517,10,1437,29,95,1248,5,8,0,11,41,1093,20,141,908,2,9,0,1,13,360,9,15,320,1,1,0,3,12,608,547,61,5,1123,20,91,971,3,5,0,7,25,314,9,4,277,2,3,0,3,16,600,556,44,4,-1.33,-9.09,-1.1,0,-39.1,1.71,150,-11.11,NA,175,64,2.74,0,-35.46,6.94,50,-44.44,NA,600,92.31,-12.78,0,-73.33,-13.44,100,200,NA,0,33.33,-1.32,1.65,-27.87,-20,-2.34,-0.07,0,-4.2,1.45,0.21,-0.07,0,0.48,1.1,0,-4.57,5.76,0.09,-0.37,0,0.55,1.1,-12.78,0,-3.06,-11.94,0.28,0.56,0,0,1.11,-0.55,0.62,-1.17,-0.07,2.02,6.61,86.85,2,10.74,84.45,Majority Black,Majority Black,No
Central Forest Park,1604,2,1067,11,24,1013,3,4,0,1,11,1398,4,922,29,29,826,3,6,0,8,22,829,8,22,786,2,3,0,1,7,238,3,2,228,0,0,0,0,4,468,384,85,4,735,19,25,663,3,5,0,5,16,187,10,4,163,0,1,0,2,6,412,343,69,4,-12.84,100,-13.59,163.64,20.83,-18.46,0,50,NA,700,100,-11.34,137.5,13.64,-15.65,50,66.67,NA,400,128.57,-21.43,233.33,100,-28.51,NA,Inf,NA,Inf,50,-11.97,-10.68,-18.82,0,-19.31,0.19,1.69,0.47,-17.53,0,0.19,0,0.66,1.03,1.33,0.36,-14.84,0.12,0.24,0,0.48,1.09,-21.43,2.94,0.84,-27.31,0,0.42,0,0.84,0.84,-5.25,-3.84,-1.5,0,3.15,3.15,89.59,1.03,2.25,94.94,Majority Black,Majority Black,No
Central Park Heights,19420,13,5625,62,108,5360,17,9,0,5,65,15003,21,4405,110,124,4031,10,12,1,16,100,4167,45,100,3952,14,6,0,3,48,1458,16,8,1408,3,4,0,2,17,2512,1928,584,35,3440,75,115,3155,10,9,1,8,67,965,35,9,876,0,3,0,8,33,2226,1705,520,36,-22.74,61.54,-21.69,77.42,14.81,-24.79,-41.18,33.33,Inf,220,53.85,-17.45,66.67,15,-20.17,-28.57,50,Inf,166.67,39.58,-33.81,118.75,12.5,-37.78,-100,-25,NA,300,94.12,-11.39,-11.57,-10.96,2.86,-78.52,0.14,0.85,0.28,-23.63,-0.12,0.05,0.02,0.2,0.62,0.72,0.36,-19.13,-0.1,0.07,0.02,0.12,0.46,-33.81,1.3,0.07,-36.49,-0.21,-0.07,0,0.41,1.1,-5.08,-3.96,-1.14,0.02,2.5,2.81,91.51,1.1,1.92,95.29,Majority Black,Majority Black,No
Charles North,7692,35,1573,62,479,909,6,79,1,1,36,8155,42,1677,128,582,779,3,100,2,8,74,1416,55,463,786,6,74,1,1,29,157,7,15,123,0,4,0,0,7,1001,768,232,17,1511,103,559,686,3,92,2,6,61,166,26,23,93,0,8,0,2,14,1118,916,202,11,6.02,20,6.61,106.45,21.5,-14.3,-50,26.58,100,700,105.56,6.71,87.27,20.73,-12.72,-50,24.32,100,500,110.34,5.73,271.43,53.33,-24.39,NA,100,NA,Inf,100,11.69,19.27,-12.93,-35.29,29.43,0.45,4.2,6.55,-8.26,-0.19,1.34,0.06,0.45,2.42,3.39,6.78,-7.06,-0.21,1.27,0.07,0.35,2.26,5.73,12.1,5.1,-19.11,0,2.55,0,1.27,4.46,7.44,9.41,-1.91,-0.38,7.63,34.7,46.45,3.94,30.45,57.79,Majority Minority,Majority Black,Yes
Charles Village,20255,65,4671,234,1988,1595,15,695,4,9,132,20016,74,4638,451,1737,1319,8,850,5,29,240,4379,216,1933,1409,15,681,4,8,113,292,18,54,185,0,15,0,0,19,2387,2023,365,17,4324,395,1665,1189,8,833,4,26,204,314,56,72,130,0,17,1,3,36,2422,2033,389,18,-1.18,13.85,-0.71,92.74,-12.63,-17.3,-46.67,22.3,25,222.22,81.82,-1.26,82.87,-13.86,-15.61,-46.67,22.32,0,225,80.53,7.53,211.11,33.33,-29.73,NA,13.33,Inf,Inf,89.47,1.47,0.49,6.58,5.88,-5.12,0.19,4.65,-5.37,-5.91,-0.15,3.32,0.02,0.43,2.31,4.09,-6.12,-5.02,-0.16,3.47,0,0.41,2.08,7.53,13.01,6.16,-18.84,0,0.68,0.34,1.03,5.82,0.75,0.21,0.51,0.02,9.72,37.45,28.44,5.01,42.56,34.15,Majority Minority,Majority Minority,No
Cherry Hill,19425,43,7861,445,495,6742,14,64,1,7,93,18365,65,7561,1043,358,5804,11,75,1,26,243,5027,294,405,4210,11,55,1,5,46,2834,151,90,2532,3,9,0,2,47,3140,2907,233,17,4996,640,300,3809,6,66,1,20,154,2566,403,58,1995,5,9,0,6,89,3067,2794,273,21,-5.46,51.16,-3.82,134.38,-27.68,-13.91,-21.43,17.19,0,271.43,161.29,-0.62,117.69,-25.93,-9.52,-45.45,20,0,300,234.78,-9.46,166.89,-35.56,-21.21,66.67,0,NA,200,89.36,-2.32,-3.89,17.17,23.53,-13.48,0.28,7.61,-1.74,-11.93,-0.04,0.14,0,0.24,1.91,6.88,-2.09,-7.98,-0.1,0.22,0,0.3,2.15,-9.46,8.89,-1.13,-18.95,0.07,0,0,0.14,1.48,-0.93,-1.44,0.51,0.05,13.79,4.73,76.76,5.66,6.3,85.77,Majority Black,Majority Black,No
Cheswolde,16924,65,6989,156,5090,1335,8,293,2,13,93,17044,79,7145,218,4723,1684,5,180,0,121,212,5295,117,3814,1056,6,232,1,9,60,1694,40,1276,280,2,60,0,3,33,3213,3070,143,7,5233,156,3294,1389,3,163,0,80,148,1911,62,1429,295,2,17,0,42,64,3112,2919,192,10,0.71,21.54,2.23,39.74,-7.21,26.14,-37.5,-38.57,-100,830.77,127.96,-1.17,33.33,-13.63,31.53,-50,-29.74,-100,788.89,146.67,12.81,55,11.99,5.36,0,-71.67,NA,1300,93.94,-3.14,-4.92,34.27,42.86,1.72,0.2,0.89,-5.25,4.99,-0.04,-1.62,-0.03,1.55,1.7,0.74,-9.82,6.29,-0.06,-1.3,-0.02,1.34,1.66,12.81,1.3,9.03,0.89,0,-2.54,0,2.3,1.83,-1.45,-2.16,0.7,0.04,3.05,66.1,23.57,2.23,72.83,19.1,Majority White,Majority White,No
Chinquapin Park,2437,6,1175,19,126,997,5,8,0,1,18,2247,7,1083,20,116,889,1,12,0,3,43,903,13,110,757,4,6,0,1,12,272,6,17,241,0,2,0,0,7,524,467,57,3,866,14,99,710,0,12,0,3,28,217,6,17,179,0,0,0,0,14,515,458,57,3,-7.8,16.67,-7.83,5.26,-7.94,-10.83,-80,50,NA,200,138.89,-4.1,7.69,-10,-6.21,-100,100,NA,200,133.33,-20.22,0,0,-25.73,NA,-100,NA,NA,100,-1.72,-1.93,0,0,-16.17,0.09,0.09,-0.85,-9.19,-0.34,0.34,0,0.17,2.13,0.11,-1.22,-5.2,-0.44,0.66,0,0.22,1.77,-20.22,0,0,-22.79,0,-0.74,0,0,2.57,-0.77,-0.77,0,0,1.85,10.71,82.09,1.62,10.72,84.85,Majority Black,Majority Black,No
Clifton Park,3242,26,2454,43,534,1806,9,25,0,2,36,2708,29,2088,53,427,1496,2,25,0,7,77,1780,26,456,1252,6,21,0,1,17,674,18,77,553,3,4,0,0,19,948,832,116,9,1604,30,360,1135,2,23,0,3,50,483,22,67,361,0,2,0,3,27,908,776,132,11,-16.47,11.54,-14.91,23.26,-20.04,-17.17,-77.78,0,NA,250,113.89,-9.89,15.38,-21.05,-9.35,-66.67,9.52,NA,200,194.12,-28.34,22.22,-12.99,-34.72,-100,-50,NA,Inf,42.11,-4.22,-6.73,13.79,22.22,-21.76,0.12,0.41,-4.36,-12.63,-0.29,0,0,0.2,1.67,0.22,-5.39,-6.57,-0.22,0.11,0,0.11,1.85,-28.34,0.59,-1.48,-28.49,-0.45,-0.3,0,0.45,1.19,-1.63,-2.28,0.65,0.08,2.54,20.45,71.65,1.75,21.76,73.59,Majority Black,Majority Black,No
Coldspring,1671,41,1015,17,183,745,5,36,0,3,26,1870,52,1139,35,233,748,3,54,0,5,62,866,15,151,649,4,29,0,1,17,149,2,32,96,1,7,0,2,9,637,612,25,4,986,33,192,664,3,50,0,0,43,154,1,41,84,0,3,0,5,19,635,581,54,9,11.91,26.83,12.22,105.88,27.32,0.4,-40,50,NA,66.67,138.46,13.86,120,27.15,2.31,-25,72.41,NA,-100,152.94,3.36,-50,28.12,-12.5,-100,-57.14,NA,150,111.11,-0.31,-5.07,116,125,19.61,1.08,1.77,4.93,0.3,-0.2,1.77,0,0.2,3.55,2.08,4.73,1.73,-0.12,2.42,0,-0.12,3,3.36,-0.67,6.04,-8.05,-0.67,-2.68,0,2.01,6.71,-0.2,-3.05,2.86,0.49,3.07,20.46,65.67,1.67,18.03,73.4,Majority Black,Majority Black,No
Coldstream Homestead Montebello,45397,36,7906,130,213,7391,17,44,0,9,102,35193,63,6172,195,265,5408,13,38,1,36,218,5861,89,204,5449,15,40,0,5,58,2045,41,9,1943,2,3,0,4,43,3460,2664,796,59,4764,120,228,4210,11,26,1,26,144,1408,75,37,1198,2,12,0,10,74,3076,2302,773,64,-22.48,75,-21.93,50,24.41,-26.83,-23.53,-13.64,Inf,300,113.73,-18.72,34.83,11.76,-22.74,-26.67,-35,Inf,420,148.28,-31.15,82.93,311.11,-38.34,0,300,NA,150,72.09,-11.1,-13.59,-2.89,8.47,-129.07,0.34,0.82,0.66,-25.08,-0.05,-0.08,0.01,0.34,1.47,0.53,0.41,-21.14,-0.07,-0.24,0.02,0.36,1.47,-31.15,1.66,1.37,-36.43,0,0.44,0,0.29,1.52,-4.86,-4.58,-0.29,0.06,3.16,4.29,87.62,1.64,2.69,93.49,Majority Black,Majority Black,No
Concerned Citizens Of Forest Park,984,1,518,6,10,494,2,1,0,1,5,926,3,485,10,18,439,1,3,0,3,11,407,4,8,389,1,1,0,0,3,111,2,2,105,1,0,0,0,2,254,200,54,3,386,7,17,351,1,3,0,2,6,99,4,1,88,0,0,0,1,5,234,190,44,3,-5.89,200,-6.37,66.67,80,-11.13,-50,200,NA,200,120,-5.16,75,112.5,-9.77,0,200,NA,Inf,100,-10.81,100,-50,-16.19,-100,NA,NA,Inf,150,-7.87,-5,-18.52,0,-11.2,0.39,0.77,1.54,-10.62,-0.19,0.39,0,0.39,1.16,0.74,2.21,-9.34,0,0.49,0,0.49,0.74,-10.81,1.8,-0.9,-15.32,-0.9,0,0,0.9,2.7,-3.86,-1.93,-1.93,0,2.06,3.71,90.52,1.16,1.93,95.37,Majority Black,Majority Black,No
Coppin Heights/Ash-Co-East,15243,6,2688,19,20,2609,4,10,2,0,25,10617,8,1926,14,22,1846,4,6,0,3,32,1990,11,19,1933,2,8,2,0,14,699,8,1,675,2,2,0,0,10,1276,918,358,29,1483,9,19,1428,1,5,0,1,20,443,5,3,419,3,0,0,2,12,983,722,261,28,-30.35,33.33,-28.35,-26.32,10,-29.24,0,-40,-100,Inf,28,-25.48,-18.18,0,-26.13,-50,-37.5,-100,Inf,42.86,-36.62,-37.5,200,-37.93,50,-100,NA,Inf,20,-22.96,-21.35,-27.09,-3.45,-172.1,0.07,-0.19,0.07,-28.39,0,-0.15,-0.07,0.11,0.26,-0.1,0,-25.38,-0.05,-0.15,-0.1,0.05,0.3,-36.62,-0.43,0.29,-36.62,0.14,-0.29,0,0.29,0.29,-10.9,-7.29,-3.61,-0.04,0.73,1.14,95.85,0.71,0.74,97.06,Majority Black,Majority Black,No
Cross Country,12801,55,5373,125,3961,1017,3,184,1,19,64,12925,64,5444,248,3761,1110,1,62,0,91,171,3765,93,2642,824,3,149,1,12,43,1608,32,1319,193,0,35,0,8,21,2215,2085,130,8,3880,160,2507,961,1,57,0,57,138,1564,88,1254,150,0,5,0,34,34,2177,2056,121,7,0.97,16.36,1.32,98.4,-5.05,9.14,-66.67,-66.3,-100,378.95,167.19,3.05,72.04,-5.11,16.63,-66.67,-61.74,-100,375,220.93,-2.74,175,-4.93,-22.28,NA,-85.71,NA,325,61.9,-1.72,-1.39,-6.92,-12.5,2.31,0.17,2.29,-3.72,1.73,-0.04,-2.27,-0.02,1.34,1.99,1.78,-3.59,3.64,-0.05,-2.44,-0.03,1.2,2.52,-2.74,3.48,-4.04,-2.67,0,-1.87,0,1.62,0.81,-0.71,-0.54,-0.17,-0.02,4.56,69.09,20.39,2.33,73.72,18.93,Majority White,Majority White,No
Cross Keys,2872,28,824,14,686,82,0,24,1,4,13,2962,38,850,40,655,86,1,41,0,3,23,793,14,666,77,0,21,1,4,10,31,0,20,5,0,3,0,0,3,701,601,100,14,805,37,626,80,0,39,0,3,20,44,4,29,6,1,2,0,0,3,683,618,65,9,3.13,35.71,3.16,185.71,-4.52,4.88,Inf,70.83,-100,-25,76.92,1.51,164.29,-6.01,3.9,NA,85.71,-100,-25,100,41.94,Inf,45,20,Inf,-33.33,NA,NA,0,-2.57,2.83,-35,-35.71,10.92,1.21,3.16,-3.76,0.49,0.12,2.06,-0.12,-0.12,1.21,2.9,-5.04,0.38,0,2.27,-0.13,-0.13,1.26,41.94,12.9,29.03,3.23,3.23,-3.23,0,0,0,-2.18,2.06,-4.25,-0.61,4.71,77.06,10.12,1.7,83.25,9.95,Majority White,Majority White,No
Curtis Bay,173,6,572,36,297,197,4,12,0,1,26,162,7,538,78,207,205,1,7,0,4,36,422,23,241,133,3,10,0,0,11,150,13,55,64,1,2,0,1,15,267,220,47,2,402,48,173,151,1,6,0,2,21,136,30,34,53,0,1,0,2,16,251,207,45,2,-6.36,16.67,-5.94,116.67,-30.3,4.06,-75,-41.67,NA,300,38.46,-4.74,108.7,-28.22,13.53,-66.67,-40,NA,Inf,90.91,-9.33,130.77,-38.18,-17.19,-100,-50,NA,100,6.67,-5.99,-5.91,-4.26,0,-1.92,0.17,7.34,-15.73,1.4,-0.52,-0.87,0,0.52,1.75,5.92,-16.11,4.27,-0.47,-0.95,0,0.47,2.37,-9.33,11.33,-14,-7.33,-0.67,-0.67,0,0.67,0.67,-2.8,-2.27,-0.35,0,14.5,38.48,38.1,6.29,51.92,34.44,Majority Minority,Majority White,Yes
Curtis Bay Industrial Area,141,5,469,30,243,161,3,10,0,1,21,133,6,441,64,169,168,1,6,0,3,30,346,19,198,109,3,8,0,0,9,123,11,45,52,1,2,0,1,12,219,180,38,2,329,39,142,124,1,5,0,2,17,111,25,28,44,0,1,0,1,13,206,169,37,2,-5.67,20,-5.97,113.33,-30.45,4.35,-66.67,-40,NA,200,42.86,-4.91,105.26,-28.28,13.76,-66.67,-37.5,NA,Inf,88.89,-9.76,127.27,-37.78,-15.38,-100,-50,NA,0,8.33,-5.94,-6.11,-2.63,0,-1.71,0.21,7.25,-15.78,1.49,-0.43,-0.85,0,0.43,1.92,5.78,-16.18,4.34,-0.58,-0.87,0,0.58,2.31,-9.76,11.38,-13.82,-6.5,-0.81,-0.81,0,0,0.81,-2.77,-2.35,-0.21,0,14.51,38.32,38.1,6.4,51.81,34.33,Majority Minority,Majority White,Yes
Cylburn,4978,5,2262,24,78,2116,9,6,0,3,25,4072,8,1839,53,75,1652,5,5,1,7,41,1731,19,75,1606,7,4,0,2,18,531,6,4,510,2,2,0,1,7,987,833,154,7,1460,35,70,1312,4,5,1,5,29,379,19,6,340,1,0,0,2,12,886,741,145,7,-18.2,60,-18.7,120.83,-3.85,-21.93,-44.44,-16.67,Inf,133.33,64,-15.66,84.21,-6.67,-18.31,-42.86,25,Inf,150,61.11,-28.63,216.67,50,-33.33,-50,-100,NA,100,71.43,-10.23,-11.04,-5.84,0,-40.05,0.13,1.28,-0.13,-20.51,-0.18,-0.04,0.04,0.18,0.71,0.92,-0.29,-16.98,-0.17,0.06,0.06,0.17,0.64,-28.63,2.45,0.38,-32.02,-0.19,-0.38,0,0.19,0.94,-4.47,-4.07,-0.4,0,2.88,4.08,89.83,1.06,3.45,93.55,Majority Black,Majority Black,No
Darley Park,4885,2,657,4,5,638,2,2,0,0,6,3818,7,514,5,12,468,1,0,0,5,23,482,3,4,468,2,2,0,0,3,175,2,0,169,0,0,0,0,3,283,209,74,10,396,3,10,367,0,0,0,4,11,118,2,1,101,0,0,0,1,12,268,199,69,10,-21.84,250,-21.77,25,140,-26.65,-50,-100,NA,Inf,283.33,-17.84,0,150,-21.58,-100,-100,NA,Inf,266.67,-32.57,0,Inf,-40.24,NA,NA,NA,Inf,300,-5.3,-4.78,-6.76,0,-162.4,0.76,0.15,1.07,-25.88,-0.15,-0.3,0,0.76,2.59,0,1.24,-20.95,-0.41,-0.41,0,0.83,1.66,-32.57,0,0.57,-38.86,0,0,0,0.57,5.14,-2.28,-1.52,-0.76,0,0.97,2.33,91.05,0.61,0.76,97.11,Majority Black,Majority Black,No
Dickeyville,571,4,696,13,56,612,2,3,0,3,7,513,6,626,24,71,496,1,8,0,3,22,511,9,50,442,1,2,0,1,5,185,4,6,170,1,1,0,1,2,345,319,27,1,490,18,63,383,1,6,0,3,16,136,6,8,114,0,2,0,0,6,334,310,25,1,-10.16,50,-10.06,84.62,26.79,-18.95,-50,166.67,NA,0,214.29,-4.11,100,26,-13.35,0,200,NA,200,220,-26.49,50,33.33,-32.94,-100,100,NA,-100,200,-3.19,-2.82,-7.41,0,-8.33,0.29,1.58,2.16,-16.67,-0.14,0.72,0,0,2.16,1.76,2.54,-11.55,0,0.78,0,0.39,2.15,-26.49,1.08,1.08,-30.27,-0.54,0.54,0,-0.54,2.16,-1.58,-1.29,-0.29,0,3.83,11.34,79.23,1.87,8.05,87.93,Majority Black,Majority Black,No
Dolfield,2668,2,1597,15,24,1534,4,4,0,2,13,2367,5,1417,41,38,1284,5,8,0,4,35,1246,10,23,1195,4,4,0,2,9,351,5,1,339,1,0,0,1,4,719,595,123,5,1131,27,34,1030,5,7,0,3,24,286,14,4,254,0,1,0,1,11,650,551,99,5,-11.28,150,-11.27,173.33,58.33,-16.3,25,100,NA,100,169.23,-9.23,170,47.83,-13.81,25,75,NA,50,166.67,-18.52,180,300,-25.07,-100,Inf,NA,0,175,-9.6,-7.39,-19.51,0,-18.85,0.19,1.63,0.88,-15.65,0.06,0.25,0,0.13,1.38,1.36,0.88,-13.24,0.08,0.24,0,0.08,1.2,-18.52,2.56,0.85,-24.22,-0.28,0.28,0,0,1.99,-4.32,-2.76,-1.5,0,2.89,2.68,90.61,0.94,1.5,96.06,Majority Black,Majority Black,No
Dorchester,2853,3,1635,13,29,1568,6,4,0,2,13,2536,6,1453,45,48,1309,5,9,0,4,32,1267,8,28,1212,5,4,0,2,8,368,5,1,356,1,0,0,0,5,733,571,162,7,1148,28,42,1037,5,9,0,4,23,305,17,7,272,0,0,0,0,10,648,529,119,6,-11.11,100,-11.13,246.15,65.52,-16.52,-16.67,125,NA,100,146.15,-9.39,250,50,-14.44,0,125,NA,100,187.5,-17.12,240,600,-23.6,-100,NA,NA,NA,100,-11.6,-7.36,-26.54,-14.29,-19.39,0.18,1.96,1.16,-15.84,-0.06,0.31,0,0.12,1.16,1.58,1.1,-13.81,0,0.39,0,0.16,1.18,-17.12,3.26,1.63,-22.83,-0.27,0,0,0,1.36,-5.2,-2.57,-2.63,-0.06,3.1,3.3,90.09,0.8,1.77,95.9,Majority Black,Majority Black,No
Downtown,8041,63,3510,194,1591,895,8,709,3,14,96,13241,67,5858,416,2140,1895,6,1030,0,39,331,3346,184,1555,824,7,679,3,13,81,163,10,36,71,1,30,0,1,14,2631,2121,510,18,5524,391,2068,1732,4,995,0,29,305,334,26,72,163,2,36,0,10,26,4861,4079,782,15,64.67,6.35,66.89,114.43,34.51,111.73,-25,45.28,-100,178.57,244.79,65.09,112.5,32.99,110.19,-42.86,46.54,-100,123.08,276.54,104.91,160,100,129.58,100,20,NA,900,85.71,84.76,92.31,53.33,-16.67,148.15,0.11,6.32,15.64,28.49,-0.06,9.15,-0.09,0.71,6.7,6.19,15.33,27.14,-0.09,9.44,-0.09,0.48,6.69,104.91,9.82,22.09,56.44,0.61,3.68,0,5.52,7.36,63.53,55.78,7.75,-0.09,7.1,36.53,32.35,5.53,45.33,25.5,Majority Minority,Majority Minority,No
Downtown West,1973,13,840,35,514,160,2,105,1,3,19,2818,15,1207,77,615,284,1,160,0,9,61,789,32,492,144,2,100,1,2,16,51,3,22,17,0,5,0,0,4,595,492,103,4,1133,70,586,263,1,153,0,6,53,74,7,29,21,1,7,0,2,8,913,778,135,3,42.83,15.38,43.69,120,19.65,77.5,-50,52.38,-100,200,221.05,43.6,118.75,19.11,82.64,-50,53,-100,200,231.25,45.1,133.33,31.82,23.53,Inf,40,NA,Inf,100,53.45,58.13,31.07,-25,100.6,0.24,5,12.02,14.76,-0.12,6.55,-0.12,0.71,5,4.82,11.91,15.08,-0.13,6.72,-0.13,0.51,4.69,45.1,7.84,13.73,7.84,1.96,3.92,0,3.92,7.84,37.86,34.05,3.81,-0.12,6.38,50.95,23.53,4.17,61.19,19.05,Majority White,Majority White,No
